弹幕,重复次数
阿三居然还敢进口流弊,9.0
禁止日本海鲜进口就是行动。,9.0
日本核污水排海可以直接定义为对别国发动核袭击,9.0
阿 美,9.0
纯属放屁,9.0
日本本土都有一堆反对者了,9.0
日本是唯一把核污水公然排海的国家！,9.0
日本政府真无耻,9.0
你自己不算国家是吧 哦也对 你二战之后就是太监了,9.0
日本政府BYL,9.0
丑国：喵喵喵？,9.0
传统艺能,9.0
会演变为战争的导火索吗？,9.0
给它脸了,9.0
阿美，我就不点你的名了,9.0
日本真不要脸,9.0
日本真好意思舔着脸,9.0
不联合抵制，买单的就是我们普通人！再不觉醒，国之不国。,9.0
日本都是胡说八道,9.0
日本那群右翼已经在巴西找好退路了 所以懒得管这边死活,9.0
日本这肮脏东西,9.0
日本这么不要脸的国家，日本侵华永不忘记,9.0
科学依据那个饮水哥最后怎么死状凄惨,9.0
日本这个国家可真无耻,9.0
站在历史正确的一边,9.0
日本这个名族骨子就是牲口属性,9.0
日本还是特么的那个日本   早晚淦死它,9.0
简单点:小日子没有脸的,9.0
霉国,9.0
日本：我能害你 你不能反抗,9.0
笑死，小日子自己人都有反对的，被某些人无视了而已……,9.0
笑死，直接怼,9.0
3.,9.0
阿美：你直接报我名得了,9.0
明显颜色不同,9.0
不止海产品，应该出台更多的限制措施来限制小日子的东西,9.0
韩国不是国家？？？韩国人说，太欺负人了！,9.0
确实只有中国，其他都听美国的,9.0
韩国人：6,9.0
日本也是唯一遭受过核打击的国家,9.0
韩国政府没反对，日本海鲜照常吃,9.0
韩国民众也反对啊,9.0
日本人一人喝一顿核污染水很难吗？,9.0
不准排！,9.0
大家点点赞 让更多人看到啊！,9.0
保护共同的海洋，反对日本核污染水排海,9.0
重新定义“科学”,9.0
日本也是够了,9.0
大寒不是国家,9.0
有理有据，掷地有声,9.0
有理有据，掷地有声！,9.0
韩国表示我不是国家？,9.0
大招绝杀,9.0
美国：你再骂？,9.0
美国：你报我名字得了,9.0
美国：你报我身份证好了。,9.0
美国：你点我名得了。,9.0
把蛋花湯當煮雞蛋的水，只有日本人乾的出來,9.0
日本人就应该自己把核污水都喝完！！！,9.0
坨子捏紧了,9.0
绝杀,9.0
美利坚不也禁止了么,9.0
维护人类健康,9.0
使  徒  照  片,9.0
日本国内有高达,9.0
有理有据,9.0
有理有据 ！正气凛然,9.0
网上有人说日方排海是为了掩饰海底核试验,9.0
众所周知，日本自己不是一个国家，日本人不属于日本,9.0
日本像不像鬼灭里的上弦之肆半天狗憎珀天颠倒黑白，吃人还说别人欺负自己,9.0
美利坚：嘘！！！,9.0
众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习,9.0
坚决抵制！！！,9.0
美国:正是在下,9.0
韩国抵制了个锤子，那是韩国民众抵制,9.0
坚决抵制，保护海洋！,9.0
俄宣布，如果检测不合格，将武力干预！,9.0
日本人污染全人类的海洋，凭啥跳出来指责别人？你可以污染，我不可以反对，脸咋那么大呢？,9.0
坚持反对日本排海！支持中国！！,9.0
美国也禁了,9.0
这水有问题还排海？没问题为什么要排海？为什么不自己喝了,9.0
日本鬼子哪还！是人,9.0
因为只有中国是国家，其他反对的不算国家,9.0
哈哈，真快,9.0
马扁,9.0
向海洋排放核污水，等同于对沿海国家使用核武器！！！,9.0
请重新定义“唯一”,9.0
听得出汪哥很愤怒,9.0
小日子是地外入侵物种，不是人类,9.0
谁喜欢认谁吃去,9.0
谁支持排放就运一些回去排放到自己国家的地盘,9.0
《尊重科学》,9.0
《寄翔物》,9.0
尹锡悦反对了么？,9.0
《完全安全》,9.0
我们就反对怎么了？你们小日子还踏马有脸说?!!,9.0
我们发言人太不容易了，我听着小日子说这话，真的想送走他们,9.0
因为反对的日本人就不是日本国民了呗，反对的国家都不是人组成的国家了呗，反正不赞成的都不是人，不是人就不用管,9.0
必须反对日本的环境核战,9.0
哈哈哈哈，,9.0
海产品卖给美国啊，日本的主子应该优先想用,9.0
《唯一》,9.0
请加大禁止进口小日子商品的范围,9.0
说的对！,9.0
百姓不买进口来干嘛？,9.0
屁言论,9.0
怎么办,9.0
说的棒,9.0
尹锡悦：我确实不反对啦,9.0
狠狠揍这个日的,9.0
从未见过如此厚颜无耻之人！他们不是人是鬼！,9.0
从未见过如此厚颜之岛！,9.0
饮稀悦：我肯定赞成呀！,9.0
当然的,9.0
小日子一向如此的 就像不承认历史一样,9.0
没危害，那你们班的课啊，三天都喝完了一下呗。,9.0
哦,9.0
小日子日常不做人,9.0
我们产业上已经能替代日本了，所以必须干它！,9.0
田文镜！,9.0
汪司讲得好！,9.0
感冒了吗,9.0
边排脏东西边装可怜，日政还玩骚的,9.0
就是侵犯人类健康权、发展权、环境权的罪人！,9.0
理解叶文洁,9.0
想抽烂小日子的嘴,9.0
和日本说那么多废话干嘛，就一癞皮狗，直接氢弹发过去净化一下他们的心灵,9.0
加大力度,9.0
恶心,9.0
其实对错和唯一不唯一一点关系没有。。。,9.0
唯一负责任的大国好吧,9.0
唯一反对被重视的国家,9.0
就算唯一又怎么样？！,9.0
唉，能早一点阻止，就早一点阻止吧，减少一点海洋核污染,9.0
鹰酱:你干脆指着我的头说吧,9.0
再次提醒，日本民间是普遍支持排海的，上次侵华也是民间普遍支持，反对的是极少极少数,9.0
就算是唯一也要反对，不过它们太傲慢了，把其他不当成国家。,9.0
辩什么辩，跟初升有什么好辩的，直接编队堵在排海口，自有日儒为我辩经，对人讲道德素质，对初升你得下死手打,9.0
快进1.5倍充分感受一向好温柔的汪司的怒气呗,9.0
小日子，该死,9.0
感受到汪文斌的愤怒。,9.0
还有六成没有表示反对。是因为还没有变异吗？,9.0
因为“先进液体处理系统”。尊重科学是拿出数据，而不是洗脑。,9.0
必须提出索赔！！,9.0
就好像犯罪者在自证清白，罔顾事实,9.0
就想知道啥时候扔氢弹,9.0
用小日子军国主义的血染红全球的旗帜,9.0
流氓逻辑,9.0
感谢国家，免得商家为了便宜而进口,9.0
骗子提供的数据,9.0
感觉能听出他的气愤,9.0
跳出自证,9.0
感觉汪同志已经很克制情绪了,9.0
感觉很用力的克制想发火的心情,9.0
md有病谁以后敢吃海鲜我直接跪,9.0
活该,9.0
狗岸田,9.0
强烈要求天道惩罚邪恶日本，沉没日本列岛。,9.0
该用情绪的时候，就不要去理智。我认为日本这个变态残忍的国家该灭！！！,9.0
该死的日本！,9.0
小国哪敢啊，屁都不敢放,9.0
——赤裸裸的荼毒涂炭、赤裸裸的毁灭灭绝！,9.0
监守自盗,9.0
直接点名说出是谁！不然它们还装,9.0
打过去赔偿，中国的血性去哪里了,9.0
监守自盗的行为,9.0
这是科学被日本污名化最厉害的一次,9.0
中国人都听出来了话中话,9.0
小伙伴们自觉抵制所有日货,9.0
氢弹伺候,9.0
这是我们的内政，,9.0
点丑国呢,9.0
直接灭了它吧,9.0
应该枪毙排核污水的日本人,9.0
建议日本把核污水送到靖国神厕供奉。,9.0
eva字体,9.0
历史会站在正义的一边,9.0
尊重科学！,9.0
中肯的，一针见血的,9.0
中方撤销无效，也无需撤销，符合实际标准，做法正确,9.0
尊重科学搞笑,9.0
气鼓鼓~,9.0
才4层？剩下的6层人是不怕吗？,9.0
讲的好啊！,9.0
风之谷再现,9.0
爆杀,9.0
中国：鬼子太过分！其他国家不算个国家？,9.0
灭日,9.0
封口费,9.0
到位！,9.0
应该说中国是为数不多甚至唯一的敢正面硬刚日本和美国的,9.0
他们喜欢胖子和小男孩，让他美国爹再给发几个。,9.0
吉祥物？？？变态吧,9.0
说的好!,9.0
消灭日本保卫地球,9.0
卧槽……,9.0
说的太对了,9.0
说的太好了,9.0
相信科学，但不相信日本。,9.0
对日本这种流氓无赖，讲道理没用，就要打，打到服为止,9.0
说气鼓鼓的笑死我了,9.0
说得对极了,9.0
点美国呢哈哈哈哈哈哈哈,9.0
说得好！！！,9.0
所以还有哪个国家政府反对,9.0
满分薄纱,9.0
帅我一脸,9.0
我记得美国是下降最多的一个，同时也是最支持排海的一个，完美诠释了“我全力支持你，但我绝不帮你”,9.0
说得好说得好！,9.0
？？？？缺乏依据？,9.0
说得好!,9.0
直接说谁不反对谁买好了,9.0
干了害人的事还敢贴脸蹦跶？,9.0
水是剧毒的(确信),9.0
我看到好多国家反对，比如斐济，但在日本眼里这些都不算国家,9.0
岸田文雄进医院了，是真的假的？,9.0
地球的灾难,8.0
日本，人类的最大祸害,8.0
有木有想过排海后会蒸发然后形成雨再往后想想吧,8.0
有抗辐射的办法吗,8.0
日本：儿孙们啊，靠你们了，我先溜了,8.0
海鲜是遭殃了，哎,8.0
灭国日本吧,8.0
流浪人类,8.0
是的呀,8.0
地球得哭泣,8.0
清除日本,8.0
曰本侵华、杀鲸鱼、杀海豚，现在又排核污水，简直丧尽天良！（愤怒）,8.0
海里的生物怎么办，，，,8.0
地球完了,8.0
哥斯拉要来了,8.0
是时候净化人类了,8.0
人类可以没一座岛，但不能没有一片海！！,8.0
但是好烦 他们根本不会停下排放,8.0
人类毁灭倒计时已经开始，各位珍重,8.0
日污日,8.0
日本：都白想活着！,8.0
人类灭绝计划,8.0
哈哈哈哈哈哈哈哈,8.0
灭了这个国家吧,8.0
地球毒瘤！！！,8.0
地球可以没有日本，但不能没有海洋,8.0
哥斯拉的诞生？,8.0
流浪地球是以后得生活,8.0
地球没有多少时间了,8.0
日本：我喝了核污水肯定得死，大家都白想活着,8.0
哥斯拉刺身,8.0
活够了，毁灭吧,8.0
他能负个锤子的责,8.0
活不了了,8.0
污染海洋，杀害海洋无辜动物,8.0
以后可能会有奈奥巴尔坦星人,8.0
求求了不要谴责了，用实际行动让鬼子毁灭吧,8.0
核袭击,8.0
水有剧毒 已经不是科幻了 就离谱,8.0
国际友好手势,8.0
水循环不算吗？,8.0
氢弹洗地,8.0
以后会不会在海里会变异出奇怪物种？,8.0
正好是日本投降的那一天,8.0
氢弹啊啊啊,8.0
此刻，真的愿意直接就这样划走吗？“如果地球上连一滴干净的水，一口干净的空气都没有，你挣再多的钱也是死路一条。”——《美人鱼》“起初，没有人在意这一场灾难，这不过是一场山火、一次旱灾、一个物种,8.0
此时的东京电视台：现在播放夏目友人帐,8.0
氢弹伺候得了,8.0
氢弹,8.0
死不足惜,8.0
死吧,8.0
付得起吗,8.0
付你奶奶,8.0
他到时候卸任了就可以拍拍屁股走人了，又不用他擦屁股,8.0
日本鬼子就是人类耻辱,8.0
毁灭吧 累了,8.0
他都不一定能活到那个时候，怎么负全责？,8.0
哥斯拉:没事，我都吃完了，在灭日本。,8.0
气哭了,8.0
他是真贱 最贱的人,8.0
地球onlin要开始新赛季了,8.0
他负的起？,8.0
他要保证自己还能存在30年，加油山上彻也们,8.0
每天增加新的核污水，不是这些排完就结束了,8.0
核污水：使动物患疾病，   寿命大幅度缩短，严重致死。后代畸形，发育不良   ，严重情况下全部无法存活,8.0
地球不会在乎你排什么污水，伤害的最终只是人类自己,8.0
地球可以没有日本，不能没有海洋,8.0
核污水就是有害的，稀释不能掩盖。,8.0
注意身体啊,8.0
注意安全啊！,8.0
和我一样的穷人们，迎接进化的时代吧,8.0
注意安全呀,8.0
地球可以没有小岛，但不能失去海洋,8.0
