弹幕,重复次数
一些科幻作品再也不是虚拟的了,5.0
前面的为什么是记者去？你可以自己去，记者的命难道不是命？,5.0
气的我脑袋痛,5.0
来来来，谁去炸了日本,5.0
被核弹炸过，吸核辐射吸上瘾了是吧！,5.0
环太平洋就要实现了,5.0
日本反人类罪，目无法纪，道德败坏，丧尽天良,5.0
生异形了,5.0
环太平洋来咯,5.0
开战,5.0
麻蛋，对倭宣战,5.0
生命之源都污染完了，银河里还有多少水,5.0
以后海鲜吃不了了。打鱼的怎么办,5.0
EVA好评,5.0
开nm！,5.0
一个公司真能毁灭全世界,5.0
哥斯拉大战不是电影,5.0
山川异域不共戴天,5.0
环太平洋了家人们,5.0
田所浩二不请自来的撅他们（恼）,5.0
说保护海洋有用吗,5.0
AEB,5.0
日本在作贱自己，祸害别人，损人不利己,5.0
一定要阻止！！,5.0
期待苏联老大哥有所作为！,5.0
就没有义士送它两颗蘑菇吗,5.0
用物理阻止他排啊,5.0
核使徒、袭来,5.0
AEV,5.0
很明显，他们想要哥斯拉,5.0
多了不能自己喝了吗为什么排进大海,5.0
毁灭吧累了,5.0
*日本简直是人类的叛徒！！,5.0
一个与全世界为敌的国家还有存在的必要吗,5.0
哥斯拉，想我了吗？,5.0
尽力吧,5.0
EVA背景音乐印景,5.0
影响最大的可能还是中国,5.0
日本使用了核武器,5.0
影响它自己,5.0
当然背后美国的始作俑者们你们也一样跑不掉。,5.0
居然还继续……,5.0
一个也别想活,5.0
他自己的渔场就没了,5.0
啊啊啊啊啊,5.0
无穷无尽，没有尽头。,5.0
爱护地球，爱护生态，爱护海洋！,5.0
躺平了，吃好喝好，,5.0
可恶日本,5.0
罐罐：核污水可算排出去了，但是地球遭殃了，不过好像也没啥事,5.0
不得耗斯,5.0
保护海洋！保护海洋！！保护海洋！！！,5.0
我们该怎么告诉我们的后代海洋是蓝色的……,5.0
我们该怎么办…？,5.0
我们要死光了,5.0
越储越浓,5.0
注意别疲劳，现在系统一直给我推这些视频，这不是好事，官方希望我们感到厌烦疲倦。请在评论的时候，把这些话带给其他同志们，一定要坚持下去​,5.0
美国为什么一直支持小鬼子排，因为他们自己就在偷偷排，正好小鬼子能帮忙转移视线，这样他们也能正大光明地排了,5.0
cs,5.0
干他,5.0
我们可以出兵吗？我先报名上灭了日本,5.0
全地球,5.0
小八嘎,5.0
美国会不会送日本第三枚核弹？,5.0
噗…又来了……,5.0
嘶……气的我头痛,5.0
嘶……,5.0
起初，人们以为这只是一场普通的事故,5.0
那不是美国海军基地所在吗？,5.0
转嫁全世界,5.0
全  世  界,5.0
坚持发声，保护海洋！,5.0
富士山怎么还不醒呢,5.0
不是有几个堆芯熔融了吗？那几个堆芯是不是就不管了,5.0
让美日两国的政客喝了核污水,5.0
人类补完？不完,5.0
我快气炸了可我一介草民无能为力，看见这些信息就头疼，没法解决心灰意冷！,5.0
我很好奇有些人是不是精日分子，现在不通过严正交涉的方式去解决，难道用打仗解决问题？,5.0
为了人类 保护海洋,5.0
原来EVA是纪录片啊！,5.0
我就看看哥斯拉什么时候出现,5.0
给劳资憋着,5.0
不断抵制倭奴排核污直至停排,5.0
使徒要来了,5.0
我去，又没电了。,5.0
日本政客是不是魔怔了，脑袋被驴踢了吧？,5.0
我国已经遭受了核袭击，为什么不采取防御性的核反击,5.0
使徒，来袭,5.0
不排除暗暗排放,5.0
BGM是使徒登场音乐嘛,5.0
可恶的日本鬼子,5.0
救命啊！！！,5.0
BGM使徒来袭）,5.0
九月底依旧大批人去日本旅游,5.0
？？？这么猖狂,5.0
武器留着有啥用，以后文明要消失了,5.0
日本我艹****你**,5.0
音乐很合适啊，第二次冲击就是毁灭了海洋,5.0
为啥用别人的视频,5.0
什么？？,5.0
上热门！！！！！！,5.0
多少倍？！,5.0
新的研究课题有了,5.0
顶顶,5.0
美日狼狈为奸祸害全世界,5.0
见证我不想见证的历史,5.0
广东慌了,5.0
记者去排污口附近捞点水样检测下,5.0
8年后我才20岁(ー_ー)!!,5.0
上世纪没占领世界这世纪以这为借口是吧,5.0
八年后我都三十几岁了,5.0
谁还敢吃日本鱼,5.0
想不到我见证了人类毁灭的开始,5.0
有没有解决方案,5.0
恶贯满盈的日本,5.0
没完了是吧,5.0
今天体检发现一堆数据不正常  好了吧  现在苟都不用苟了,5.0
北海道辐射鱼,5.0
联合国宣布：8月26日消灭日本～,5.0
啊啊啊啊啊啊？！！！！！,5.0
犯我海洋者，虽远必诛,5.0
什么人类的叛徒，根本就不是人,5.0
没有用，接续排海，任何数据都不注意支持不排海，懂得自然懂,5.0
新仇旧恨,5.0
有啥用呢又没能力阻止,5.0
可以在我们海域修一个围墙样式的核污水过滤器吗？不想垃圾日本污染我们家园。,5.0
啥？,5.0
现在都在指望毛子。。,5.0
卧槽！！！你还敢！！！,5.0
啊？？,5.0
会枪毙吗？,5.0
日本快乐水,5.0
八年后我才23,5.0
会有哥斯拉,5.0
以后没有对日本的物理制裁的信息我是不会点赞投币的,5.0
不为别的，为了我们的孩子们，动手吧！忍不了了！,5.0
小日子以有取死之道,5.0
啊？还来？？,5.0
没有美国默许，狗儿子哪敢,5.0
垃圾民族,5.0
八年以后我才20岁……(悲),5.0
有啥用啊，现在就剩打打嘴炮了,5.0
现在27号了,4.0
溶质不变稀释有屁用,4.0
现在在水里游会儿 过几年就成美人鱼了,4.0
现在各国可能都在抓紧时间造水质过滤器了……,4.0
钚钛平洋,4.0
钛 平 洋,4.0
产生变异物种那得是等我们这代人死了才有的事了,4.0
现在不吃，最后也得吃，除非你什么都不吃,4.0
钡氦氘渔场,4.0
现在家家户户盐都囤了不少，都没货了,4.0
也算是日本对老美核打击的一种还击手段哈哈哈哈 很符合日本的性格 鱼死网破,4.0
环太平洋要成纪录片了,4.0
主持人真美,4.0
9月8号的,4.0
特别是看到美日韩联合会议，总感觉没安好心,4.0
那南极怎么办？那是唯一没有人类的净土了,4.0
824！！！,4.0
之前偷偷排，现在直接明着排,4.0
那就造500个奥林匹克泳池把水放里面。,4.0
物理需要一次彻底的改良了，期待核聚变登上舞台！,4.0
牛,4.0
买回来我怕海鲜把我吃了,4.0
烦死了日本能不能自己一个星球,4.0
那接下来全国人民怎么喝水吗？净水气都没什么卵用。,4.0
之后该怎么活下去,4.0
爱 惨,4.0
九月二十四我生日,4.0
也阻止不了只能接受,4.0
然后呐,4.0
那日本渔民怎么办？,4.0
也许日本想小男孩和胖子了,4.0
都在等鱼自己上岸,4.0
潘多拉魔盒 就不能把妖魔鬼怪制服,4.0
二战遗留问题一次解决！！！,4.0
举国搬迁巴西,4.0
那些讲氚半衰期12年，那是排一次吗？,4.0
环保组织怎么不叫了,4.0
那些个海洋保护协会的人不跳出来了吗,4.0
主线任务：活下去,4.0
环保少女哪去了,4.0
配这个音乐是什么鬼,4.0
主线任务：活下去，一定！,4.0
主线任务：活到成年,4.0
都破音了 哈哈,4.0
主要是怕哥斯拉,4.0
9注意安全,4.0
玛娜生态登场,4.0
@冬雪莲,4.0
主要是海洋辐射水，以降雨下雨的方式返回到内陆,4.0
狭路相逢勇者胜,4.0
主要美国也想排，先让日本试试水，没人反对自己也排，其他国家纷纷效仿看谁能存活到最后一人前能出现辐射抗体,4.0
那以后奥特曼也变异了咋办就没人打怪兽了呀,4.0
狗都不吃,4.0
也测测咱们周围海域的辐射量，让大家有个对比,4.0
5555好惨啊 众多渔民,4.0
2我的天！,4.0
人家早脚底抹油了,4.0
首先飘香美利坚,4.0
没关系 以后鱼会自己走上来的,4.0
没什么影响,4.0
香蕉就0.07微希/时了，正常城市0.1左右，人正常一年会接受自然辐射2400微希,4.0
没人科普吗？？应该是多少一下呢。？？阈值多少？？？,4.0
没人正常，台风要来了，出海找死吗,4.0
12:58,4.0
没人拦它吗？,4.0
没人会吃的放心,4.0
没人买捕个毛,4.0
没事，有躬匠精神,4.0
没事，可以洗成正常的，比如说这是自然正常辐射值,4.0
驻日大使馆怎么办？,4.0
10年啦,4.0
100年后就真有鱼人这一种族了,4.0
没事，你不用去找他，他会来找你的,4.0
没事，以后鱼会自己走上来的，但是你要学会新的技能狩猎,4.0
高启强再也吃不到新鲜的鱼了,4.0
高考化学必考题了,4.0
求同款辐射仪,4.0
鬼子干过多少人事？,4.0
10,4.0
鬼子灭亡吧,4.0
水是生命之源,4.0
没办法，太平洋还是太大了，美国受到影响比较晚,4.0
15:27,4.0
温馨提示：大家以后淋了雨记得洗澡，因为辐射,4.0
没得吃海鲜了,4.0
注意健康啊，记者,4.0
注意个毛！谁敢动！！！,4.0
泡菜国:你不要过来啊！！！,4.0
2,4.0
1小时2那太高了,4.0
180？！,4.0
什么东西每天都在造核污水，它们想干嘛,4.0
180？,4.0
顶,4.0
什么影响哪里？无处可逃！！！,4.0
什么焦段啊？,4.0
没有防辐射服吗，快给小姐姐穿上啊！,4.0
什么衣服能防辐射，有谁告诉我,4.0
没有海鲜吃了呜呜呜,4.0
没有任何防护？,4.0
没有任何问题的正常值,4.0
预测的好准天气预报就不准,4.0
预计排30年，期间核污水会不断产生,4.0
180倍！！,4.0
没想到，活下来竟是终极目标,4.0
没想到环太平洋是纪录片,4.0
题目不太对吧，全世界每个地方都会影响，应该是最先影响到哪儿,4.0
180倍！,4.0
魂斗罗真人版,4.0
鱼会不会长脚,4.0
鱼又做错了什么,4.0
鱼天使,4.0
毁灭吧赶紧的,4.0
(哪里),4.0
(╥╯﹏╰╥)ง,4.0
？注意安全,4.0
&lt;地球OL&gt;发布任务:活到成年。,4.0
？？这真的可以实地吗,4.0
 日本没了可以，但是还我太平洋！,4.0
死了一个前首相，后面的是美国扶持的，前面那个狡猾如狐，不会相信美国那一套的,4.0
以前都是我们探索海洋，马上海洋里的东西就要上来探索我们了,4.0
以后不是单单不吃鱼就完事了，你连粮食都种不出来，连水都是剧毒,4.0
以后不用去捕鱼了，鱼自己会长腿走上岸来,4.0
以后不用打鱼了，鱼喝了核污染水会自己走上岸来找你,4.0
以后不用打鱼了，鱼隔了核污染水会自己走上岸来找你,4.0
正常范围是0.01-00.2，己经十倍了,4.0
正常本底到0.2都还好都挺正常的,4.0
正常是0.02,4.0
正常城市0.1左右,4.0
以后他们的核冷却水说不定可以一直排,4.0
以后会不会连澡也不能洗了,4.0
 日本不说核污水能喝吗为什么自己不喝还要排到海里！,4.0
根本不用测,4.0
核（划）污（掉）水，核（打）废（✓）水。官方用词不严谨啊！,4.0
？？？？？？？？？,4.0
他这个摄像机真好,4.0
，,4.0
......,4.0
他们还负责吗？他们已经是在不负责任了,4.0
鱼天使来袭,4.0
鱼天使：终于可以去日本了,4.0
鱼民都放假了,4.0
水天使,4.0
水危机之后还有粮食危机,4.0
鱼的命运齿轮开始转动…,4.0
鱼类变异长出角，脚算是超级进化吗？,4.0
鱼都上岸了,4.0
鱼都要爬上岸说私密马赛了,4.0
氢弹呢,4.0
他们这个核污水要差不多30年  想办法阻拦啊  已经排放的拦不回去 起码要阻止他们继续排放,4.0
0.12微西弗每小时说不定比你家里还小。,4.0
鱼：还想吃我？现在是我吃你,4.0
他们那政府不会养他们一辈子的,4.0
氚还好，钴60要命哦，半衰期长的很,4.0
氚的半衰期约为12年,4.0
氚本身还好，主要是日本宣称处理其他放射性元素的ALPS可靠性非常值得质疑,4.0
0.2以内都是正常值，我是做X-ray设备的。2就很危险了,4.0
他想直接倒海里面稀释吧,4.0
0.1到0.2都是正常的,4.0
0.12是正常值,4.0
比哥斯拉还哥斯拉,4.0
注意安全 注意安全 注意安全,4.0
注意安全呀 怎么没穿防护服？,4.0
注意安全呀姐姐 要不然穿个防护服,4.0
海的那边是敌人,4.0
防护服穿一下～啊,4.0
消灭人类暴政，世界属于三体。,4.0
防护服都不穿一下？,4.0
海鲜还涨价 白送我都不要,4.0
人类会不会变成丧尸？,4.0
阿古茹！！,4.0
海鲜大餐:烧烤哥斯拉,4.0
阿古茹，赐予我力量吧！,4.0
阿美 这怎么能忍啊,4.0
附近好像有学校,4.0
降临派其实没错，错的是哲学不过关，去皈依有问题的外星人，人类在这问题上真的很难，越拖越危险,4.0
2？？？,4.0
海鲜不敢吃了才对,4.0
难怪前首相会被枪杀，反思一下日本的大环境逼疯到这种地步,4.0
2？！注意安全！！！,4.0
海里的鱼：我们反对排海,4.0
人类又要进化了,4.0
海都没有了，路飞要在哪里当海贼王？,4.0
海都有点发黑了,4.0
人类可以少一座岛，但绝不能少一片海洋,4.0
海贼王里的海王类要出现了,4.0
2稍微高一点，不过短期停留基本没问题,4.0
2的数据呢,4.0
人类什么都阻止不了，这几十年离谱的事太多了，感觉再过几十年就全部毁灭了，活不到100岁,4.0
防护服呢？安全第一,4.0
防护服也不穿，这么勇？？？？,4.0
渔民准备升天,4.0
温顺的进入这良夜,4.0
渔船都是新的，估计是政府拖来撑场面的,4.0
铯,4.0
铯137可太变态了,4.0
渔民？？？全球气循环都得受 罪,4.0
渔民：郁闷,4.0
渔民：我还想活,4.0
渔民：完了，饭碗被砸了,4.0
渔民都怕核辐射逃了，记着应该穿点防护服。。,4.0
铯不是放射性元素,4.0
3成，白送喔都不要,4.0
防护也不做了？？？,4.0
渔民以后可以专职成怪物猎人了,4.0
渔民“你看我们现在这副深潜者的样，我tm还用的着船？？”,4.0
渔民:我不当渔民了。,4.0
渔业资源只是开始，最终所有东西都带辐射,4.0
镶对氨醛,4.0
问题大到一定成度就不是问题,4.0
淹了吧这国家没有存在的必要了,4.0
阈值多少啊？？多少以下理论安全啊？？？,4.0
深海还有很多没见过的物种 会不会变异呢,4.0
深入敌后不容易,4.0
2挺高的,4.0
雨水会把辐射带到内陆的，谁也跑步了。我们的后代啊,4.0
注意安全呐！,4.0
海的味道倭知道,4.0
韩国611,4.0
注：日本高层,4.0
注意防护，保护好自己吖,4.0
注意防护辐射,4.0
注意防护啊，保护好自己,4.0
注意防护啊,4.0
注意防护,4.0
2026年8月24日来考古。目前中国受到的影响要比其他国家小很多，一切都会好的,4.0
注意安全，瑞思拜,4.0
2025年的那个离大谱,4.0
注意安全，注意防护！！,4.0
注意安全，注意安全,4.0
韩国这是抢到第一了,4.0
200倍你不穿防护服？,4.0
注意安全！注意安全！,4.0
注意安全！不要刺激当地人，也不要喝当地水,4.0
注意安全啊，防护服快穿上,4.0
注意安全啊！！,4.0
注意安全啊没防护就站那边,4.0
注意安全啊姐姐,4.0
200倍,4.0
注意安全啊啊啊,4.0
注意安全啊 ^_^ ,4.0
活该，,4.0
鞠躬doge,4.0
流浪地球是部记录片,4.0
海氚奔硫,4.0
海的味道你知道～福岛辐射～,4.0
海洋生物怎么办？？我们的虎鲸怎么办啊！！！,4.0
雨水能让苔藓植物大批死亡,4.0
雨水蒸发以后可以飘到任何地方,4.0
人类探索了海洋5%，剩下百分之95要来探索人类了（乐）,4.0
海洋动物：WDNMD,4.0
人类文明将毁于日本,4.0
雨水辐射，生化危机,4.0
为啥没上首页！！！！,4.0
2左右的话和切尔诺贝利居民区的辐射值都差不多了,4.0
海怪？启动！,4.0
测测咱的,4.0
2就是极限百倍了,4.0
海怪诞生日,4.0
海底小纵队:你们有考虑过我的感受吗？？？,4.0
海嗣！大群在呼唤！,4.0
海啸都没让他如此穷困,4.0
海南人真的要哭了，他们为了省钱排核污水，为什么要祸害我的家乡，我所见的海天一色还能再有吗？,4.0
人类清楚计划,4.0
靠海为生的渔民怎么办啊,4.0
25日考古,4.0
测辐射咯,4.0
现在成立ETO还来的急吗,4.0
相对安全，不安全都在海里,4.0
现在是北海道坟场了,4.0
谁能保证美国西海岸不会是受核污染最严重的地区,4.0
赔钱有啥用,4.0
赛默飞专业,4.0
赛默飞太贵，国产也有,4.0
赛默飞滑跪,4.0
赞点给一线工作者,4.0
赶快找莫大师写本北海道的鱼，是世界上最美味的,4.0
美国指使的,4.0
赶紧回国吧，这么漂亮太可惜了，让我去,4.0
赶紧回家吧 ,4.0
《北海道生化场》,4.0
赶紧跑吧,4.0
美国怎么不说话了,4.0
美国将全球安全置于何地,4.0
美国在马绍尔海域早就进行过几十次核试验又怎么说？难道之前就干净嘛？,4.0
《北海道生化危机》,4.0
美国和日本在搞人类清除计划,4.0
不只是海洋啊，我们的水以后都带有辐射，食物中的水也有,4.0
美国反而更高？我不信,4.0
美国人喜欢吃,4.0
不可能去污染他们自己的北海道渔场，指不定到别的地方偷偷排了,4.0
不可能永远不打鱼,4.0
美国:儿子真厉害，都尿我身上了,4.0
起猛了，穿越到末世小说了,4.0
《别说氚》。,4.0
跳伞7:25,4.0
不带任何防护措施，真的没问题吗？,4.0
罪恶根源,4.0
《哥斯拉诞生记》,4.0
质疑曼多拉，理解曼多拉，成为曼多拉,4.0
不仅海产品，其实日本所有产品都需要考虑辐射问题了,4.0
《哥斯拉：起源》,4.0
联合国来点作用啊,4.0
《寂静的春天》,4.0
三年以后活下来的都是解开基因锁的克苏鲁,4.0
三成怕什么,4.0
而你，是真正的英雄,4.0
而且这玩意儿一直在生产核污水，md,4.0
上2的话，细胞要被轰击了,4.0
《寂静港》,4.0
老天爷赏饭吃，恶魔收走了,4.0
老天有眼  收了日本鬼子,4.0
老天啊睁开眼睛吧，世界都疯了,4.0
负着个屁，他们根本就不想负责,4.0
上热门！！！！！,4.0
质疑叶文洁，理解叶文洁，成为叶文洁,4.0
负责？根本不负,4.0
美女记者太勇敢了,4.0
美女很拚,4.0
美女 我们都知道了  赶紧回来把,4.0
上课了,4.0
上课铃声全世界统一？,4.0
下海游泳？下去两根腿，出来三根腿,4.0
下课了,4.0
下降三成不错了，因为这起码还算是可能没有被污染的鱼，但是被污染给我我才不吃,4.0
下雨也会有核污染水直接进入河流,4.0
美国：两个吃不饱是吧？,4.0
核辐射刺身，美滋滋,4.0
罪在当代，罪在千秋,4.0
不愧是你啊日本政府,4.0
身在辐中不知福,4.0
不用捕鱼，以后鱼会自己上来,4.0
不是福岛是核岛,4.0
不是米国为了争霸非让地球毁灭是吗,4.0
迎接光荣的进化吧,4.0
返了有啥用，饭碗都没了,4.0
不是说能喝吗？,4.0
还不如切尔诺贝利的处理方法,4.0
《上涨》,4.0
还得是央视记者够拼,4.0
答:全世界,4.0
还想吃干啥,4.0
等里面的鱼变异了，以后这里就叫海怪湾,4.0
等等，污水,4.0
《一片死寂》,4.0
纠正《辐岛》,4.0
不用稀释后再排放，放大海里慢慢稀释呗,4.0
等哪天看到哥斯拉，我也不会觉得奇怪,4.0
等会儿是2而不是0.2！！！,4.0
还捕鱼呢，过两天鱼都要上岸玩捕人达鱼了。,4.0
还捞毛的鱼 泥给路达哟,4.0
等个几年，游戏直接变现实,4.0
第壹次冲击即将来袭,4.0
第二次冲击消灭了所有海洋生物,4.0
第二次冲击,4.0
不用穿防护服吗,4.0
不用穿防护服吗？,4.0
第三支部！不,4.0
迈向火星,4.0
红色海洋,4.0
身在辐中享其辐,4.0
辐射正常，还没到影响人体的强度,4.0
躬酱,4.0
编,4.0
绷不住，戴口罩？,4.0
辐                  岛,4.0
辐  岛,4.0
继续持续关注,4.0
辐光岛,4.0
辐射强的话，话筒拾音和摄像机都有雪花声和雪花图像，这个没有，说明还好？,4.0
辐射或成真实事件改编游戏,4.0
辐射指数空降02:20,4.0
给！我！砸！！！,4.0
给我生日这天来个大惊吓是吧,4.0
辐射真的高，姐姐辛苦,4.0
红豆泥斯米马赛,4.0
辐射致癌,4.0
经由水循环，全球都会被污染,4.0
经济制裁!,4.0
辐岛啊？,4.0
《仁氚》,4.0
不是他们，是全人类包括所有海洋生物,4.0
辐音使徒,4.0
辛苦了姑娘,4.0
辛苦了，注意安全,4.0
纪录片成科幻片，科幻片成纪录片,4.0
过个几年，此地的鱼就要上岸捕人了，攻守易形,4.0
过几天鱼都要烂了,4.0
联合国都管不着日本,4.0
肯定不能吃,4.0
为啥不穿防护服？？？,4.0
肯定不能吃了 ,4.0
记者好美,4.0
要穿防护服,4.0
要注意安全啊，姐姐,4.0
记者姐姐哽咽了,4.0
要是到北冰洋北极熊怎么办呢,4.0
记者姐姐声颤抖,4.0
记者姐姐真不容易啊！,4.0
记者姐姐穿上防护服吧！,4.0
记者姐姐，注意安全啊,4.0
记者小姐姐嗓子不好,4.0
记者小姐姐太瘦啦,4.0
要吃使徒的一集,4.0
要么鱼变异，要么人变异。,4.0
一个奥林匹克游泳池有一个奥林匹克游泳池那么大,4.0
一个小岛更是靠海吃海，居然自断一臂,4.0
一个小时这么快？,4.0
记者小姐姐好漂亮,4.0
记者小心,4.0
西蒙出名了,4.0
记者工伤工伤,4.0
被冲走仙人,4.0
行了，吃了小半辈子海鲜，下半辈子不吃又怎样？,4.0
记者注意安全,4.0
血雾弥漫，尸横遍野,4.0
血脉觉醒,4.0
蛙滴人真的很怕死呢哈哈哈,4.0
记者注意安全啊！！！,4.0
记者好瘦，好喜欢,4.0
要筹备下日本清除计划了,4.0
记者好漂亮,4.0
记者也很日本,4.0
让记者穿放辐射服啊！！！！！？,4.0
让风往西刮，刮到太平洋美利坚的西海岸,4.0
《辐  氘》,4.0
触发主线任务：活下去,4.0
记住 这是官方 ,4.0
解散联合国,4.0
《辐射5》,4.0
记住现在的海是蓝色的，而不是绿色的,4.0
解决办法：联合国驻军福岛。,4.0
视频非常清晰，没有辐射噪点，就说明了，计量不大,4.0
《辐氘》,4.0
记者不怕你们杞人忧天搞笑,4.0
记者从哪买到这土衣服的………,4.0
覆巢之下版本,4.0
见证哥斯拉和环太平洋机甲同框,4.0
《钚 鱼》,4.0
"记者同志,你不怕吗?",4.0
记者同志快回来吧，别在那破地方呆了,4.0
见证历史的一天，罪恶的历史,4.0
【【【央视从来不说假话 】】】,4.0
见证历史…！……………！,4.0
【报应来了  日本8月25日发生地震-哔哩哔哩】 https://b23.tv/enJPrtj,4.0
㣁氦薵畬䯴,4.0
记者同志这么拼,4.0
记者吓死了，嗓子都在发颤,4.0
记者回来之后变异成异形了。,4.0
记者要做好防护呀,4.0
蒙必乐,4.0
记者要注意安全,4.0
请记者注意安全,4.0
一脸生无可恋的样子,4.0
自己做好保护啊！,4.0
一般城市是0.2，东京要是0.01，那我只能说东京的环境太好了,4.0
《怪物猎人2023》,4.0
自尽式排水，日本真的没脑子,4.0
请求诺森德发起联合抵制,4.0
能看出记者很生气,4.0
七十岁了，可以退休了。,4.0
能啊，怎么不能，吃完第二个头就可以长出来了,4.0
能吃！他们自己吃,4.0
能吃也不吃,4.0
请相信我，2033年8月27号会出现僵尸,4.0
三体人出击,4.0
《战地记者》,4.0
谁买啊,4.0
《归还困难区》语言艺术实属给日本玩明白了,4.0
能不能来颗陨石把日本砸了啊，好烦，UFO能不能制裁它,4.0
能不能排富士山去，md,4.0
谁吃谁变异,4.0
谁敢住那,4.0
谁敢啊,4.0
背景音乐甚至eva,4.0
谁有小日子的电话 我要去问候一番,4.0
背叛人民的，就注定被人民抛弃,4.0
三头鱼,4.0
肯定不能吃啊！！！不用想,4.0
自己的鱼自己吃吧,4.0
自造深潜者,4.0
萝卜头表示，窘迫哥给你找到新家了,4.0
茜文大美女,4.0
记者要注意安全啊！,4.0
记者说得对,4.0
记者说的对,4.0
记者还是理性的,4.0
讲个笑话，稀释后排入大海,4.0
《祸岛》,4.0
评论都不显示,4.0
草,4.0
《相对》《短期》,4.0
"说下雨的,水蒸发后大多数物质会去除，不是说没危害，那你们这样说就是引发焦虑。",4.0
茜文宝贝,4.0
茜文好好看,4.0
一天内他们就提前把一年的废水都排了生怕来不及放出去,4.0
一点防护都没有 是意思没危险吗,4.0
《汞僵》,4.0
《死寂的海洋》,4.0
说明白了吗，有啥危害,4.0
一家之言,4.0
《最后的净海》,4.0
《明   日   之   后》,4.0
芜湖十年进化/变异开始,4.0
艹，山东威海人焦虑死了,4.0
船运压载水,4.0
说要消除人类的，和这种灭绝人类的排海有区别吗,4.0
致敬,4.0
一点防护都不做吗,4.0
第一话：奥特曼来了！！！,4.0
第一次冲击,4.0
第3次冲击,4.0
不知沿海渔民又有多少会因此失业。。这什么事啊,4.0
盖格计数器假的吧,4.0
eva小曲,4.0
这是日本对世界的核报复,4.0
盖格计数器,4.0
这是本底,4.0
盖格一响，全村吃席,4.0
eva 气氛拉满了,4.0
eva 启动！,4.0
盖亚曾经说过如果地球抛弃人类，就不会有奥特曼。可是地球真的没有奥特曼啊,4.0
这是自取灭亡,4.0
盖-10,4.0
盐要贵了,4.0
百氚东到海，核时复西归,4.0
这是重播？不是已经排了吗,4.0
这普通话是怎么进央视的，背景这么厚,4.0
为了安全还是穿防护服吧安全第一日本不值得,4.0
这样的视频你们都不投币？留着过年吗,4.0
百氚东倒海，核实腐溪归,4.0
这次是全球人民的伤害,4.0
百氚东倒海，何时复西归？,4.0
这比战地记者还危险,4.0
百年未有之大变局,4.0
这渔场废了,4.0
这点辐射量还行，但是吃下去那倒是就呃，内照射那破坏力就大很多了,4.0
为什么不穿好防护服，，注意安全啊,4.0
为什么不穿防护服,4.0
为什么不穿防护服啊,4.0
盖革一响,4.0
目前最大的影响是国足吃不上海参逼平马来西亚,4.0
目标：活到20,4.0
相机也要注意电离辐射啊（,4.0
看了这个视频，突然感觉到能理解《迪迦》中的超古代文明究竟是怎么灭亡的了！,4.0
这姐姐太猛了，真的勇,4.0
这姐姐好漂亮啊,4.0
这就好比溶质与溶剂。初中化学学过，无论你怎么稀释溶液中的溶质，溶质的质量分数是不会变的,4.0
看eva看的,4.0
省流：引爆日本,4.0
省流：只要你在地球就逃不过,4.0
这很日本,4.0
省流：全世界,4.0
这怕不是5年后 吃哥斯拉了,4.0
省流:全世界,4.0
丧尽天良的民族和政府,4.0
相对铵醛,4.0
目标：活到30岁保佑后代,4.0
让我去,4.0
eva！！,4.0
这是一个跟核纠缠不清的民族,4.0
这是人类灭绝计划吗,4.0
丧钟响起,4.0
中国人还是日本人,4.0
eva的bgm,4.0
中国都不进口海鲜了  他补个屁    饿死他们,4.0
中指好评！！！,4.0
直接排海不是更稀释吗,4.0
中指好长啊。。。。,4.0
直接eva讽刺打脸,4.0
为什么不穿防护服啊！,4.0
这玩意儿一整个生化武器,4.0
癌变十几年后打回我们身上,4.0
生化模式：北海道,4.0
这里不宽敞吗？它们不能在这些地方储存吗？,4.0
用武力阻止，不要让事态发展到无法挽回的时候,4.0
用无人机过去测测是多少,4.0
这里是净土，不干净，但很安静,4.0
远比秦川安全。不谈苍生谈鬼神，不敢相信,4.0
EVA式标题？,4.0
连个防护服都不穿？？？？,4.0
连修建堤坝都能做到亡羊补牢，但倒水的窟窿以后它是填不了的,4.0
生物要开始朝适应辐射方向进化了。。惨,4.0
连我们国家的海鲜我也不敢吃，好气,4.0
生物圈都会受影响,4.0
生命总会找到出路！,4.0
生化危机自做地,4.0
用生命在报道新闻啊！,4.0
迪迦呢，我相信光,4.0
送去太空,4.0
理解叶文洁了,4.0
为什么这还不上热搜,4.0
理解一下狗要是听得懂人话那就好了,4.0
现实版的地铁辐射区,4.0
现实版暗影岛！,4.0
为啥不穿防护服啊,4.0
现在连渔船都要用不了了,4.0
现在说这有什么用怎么阻止啊,4.0
为啥不穿防护服啊？不是辐射很强么？,4.0
现在更喜欢了,4.0
Eva可还行,4.0
用生命在报道，致敬,4.0
瘦成竹竿了,4.0
这群畜牲,4.0
瘟 疫 公 司,4.0
这玩意叫盖格计数器,4.0
这皮肤看起来有点干啊,4.0
病毒+核辐射哈哈哈哈,4.0
这直播算拼命了,4.0
这睫毛,4.0
这睫毛得影子这么长啊,4.0
这睫毛粘上去的吧,4.0
疫情时候常能看见你播报新闻，妹子注意安全,4.0
bgm有必要这么燃吗,4.0
bgm对味,4.0
bgm完美,4.0
疫情好几年 第一次见没戴口罩的样子,4.0
这辈子都回不去 下辈子也不行,4.0
a？,4.0
为什么没有国家拦一下阿,4.0
为什么没有措施,4.0
这背景音乐有点东西啊,4.0
这船都有核辐射了，当破烂都没人要,4.0
